TITLE,CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,INC,INC1,STATUS,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS
R,0,1,26,9.00,24.00,1.00,2.00,1.00,0.00,1.00,0.00,1.00,U,3.00,1.00,0,2,1.00,1400.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
R,2,4,38,216.00,36.00,2.00,0.00,0.00,2000.00,0.00,2500.00,2.00,V,1.00,1.00,2,0,0.00,5000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,0,1,37,96.00,48.00,2.00,0.00,0.00,2100.00,0.00,2500.00,2.00,G,1.00,1.00,0,9,1.00,6000.00,Cars,Owner,East Germany,Others,Car,no credit cards
R,0,1,23,24.00,33.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,1000.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
R,2,4,30,18.00,18.00,2.00,0.00,0.00,2000.00,0.00,2500.00,2.00,V,1.00,1.00,3,3,1.00,1100.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
R,1,3,37,48.00,6.00,1.00,0.00,0.00,1600.00,0.00,2500.00,2.00,V,3.00,1.00,0,0,0.00,1400.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
H,2,4,48,264.00,15.00,2.00,0.00,1.00,1900.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,3000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,1,3,44,96.00,96.00,2.00,0.00,1.00,2500.00,0.00,2500.00,2.00,V,1.00,1.00,3,0,0.00,900.00,"Radio, TV, Hifi",,East Germany,"Civil Service, M",Car,no credit cards
H,1,3,59,168.00,36.00,1.00,0.00,0.00,1700.00,0.00,2500.00,2.00,V,3.00,0.00,0,3,1.00,5000.00,"Furniture,Carpet",Owner,East Germany,Pensioner,Car,no credit cards
H,1,2,23,9.00,9.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,900.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
H,0,1,26,15.00,9.00,1.00,0.00,0.00,2400.00,0.00,2500.00,2.00,U,1.00,1.00,2,0,0.00,2500.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
R,0,1,28,3.00,15.00,1.00,0.00,0.00,1800.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,2000.00,"Radio, TV, Hifi",,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
R,2,4,33,36.00,168.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,V,3.00,1.00,0,2,1.00,500.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
R,2,3,34,192.00,54.00,1.00,0.00,0.00,2300.00,0.00,2500.00,2.00,G,1.00,1.00,0,2,1.00,1400.00,"Radio, TV, Hifi",,East Germany,Others,Without Vehicle,no credit cards
H,0,1,28,9.00,18.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,U,3.00,1.00,0,0,0.00,600.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
H,0,1,43,54.00,66.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,G,3.00,1.00,0,0,0.00,1200.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
R,0,2,23,3.00,48.00,1.00,0.00,0.00,1800.00,0.00,2500.00,2.00,E,3.00,1.00,0,0,0.00,1600.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
H,0,1,22,144.00,27.00,2.00,0.00,0.00,1800.00,0.00,2500.00,2.00,U,1.00,1.00,1,0,0.00,4000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
R,0,1,23,9.00,3.00,1.00,0.00,0.00,1800.00,1.00,2500.00,3.00,U,3.00,1.00,0,0,0.00,1400.00,"Radio, TV, Hifi",,East Germany,Others,Car,Cheque card
H,0,1,29,360.00,9.00,2.00,0.00,0.00,2000.00,0.00,2500.00,2.00,U,2.00,1.00,1,0,0.00,2500.00,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
H,0,1,33,15.00,9.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,3.00,1.00,0,0,0.00,1200.00,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,Cheque card
H,1,3,35,999.00,66.00,2.00,2.00,1.00,2400.00,0.00,2500.00,2.00,V,1.00,1.00,2,0,0.00,1200.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
R,1,2,26,0.00,18.00,1.00,0.00,0.00,1000.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,1100.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
R,0,2,69,144.00,108.00,2.00,2.00,1.00,1500.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,1400.00,"Furniture,Carpet",Lease,East Germany,Pensioner,Car,no credit cards
H,1,2,27,30.00,27.00,2.00,0.00,0.00,2300.00,0.00,2500.00,2.00,U,1.00,1.00,1,0,0.00,500.00,"Dept. Store,Mail",Lease,East Germany,Others,Without Vehicle,no credit cards
R,1,2,26,3.00,21.00,1.00,0.00,0.00,2300.00,0.00,2500.00,2.00,U,1.00,1.00,1,0,0.00,2500.00,"Radio, TV, Hifi",Lease,East Germany,Chemical Industr,Car,no credit cards
H,2,4,43,42.00,42.00,2.00,0.00,0.00,1000.00,0.00,2500.00,2.00,V,3.00,1.00,0,0,0.00,1200.00,Cars,Owner,East Germany,Others,Car,no credit cards
H,2,4,36,18.00,18.00,2.00,2.00,1.00,2600.00,0.00,100000.0,4.00,V,1.00,1.00,2,0,0.00,1700.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,0,1,21,12.00,9.00,1.00,0.00,0.00,2000.00,0.00,2500.00,2.00,U,1.00,1.00,1,0,0.00,1400.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
H,0,1,28,3.00,24.00,1.00,0.00,0.00,2600.00,0.00,100000.0,4.00,U,1.00,1.00,2,0,0.00,4000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,0,2,43,12.00,288.00,2.00,0.00,1.00,2200.00,0.00,2500.00,2.00,V,2.00,1.00,1,0,0.00,1600.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
H,2,4,36,999.00,144.00,2.00,0.00,0.00,4000.00,0.00,100000.0,4.00,V,1.00,1.00,10,0,0.00,15000.00,"Furniture,Carpet",Owner,East Germany,"Civil Service, M",Car,no credit cards
H,1,2,30,30.00,18.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,1.00,1.00,2,0,0.00,1000.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
R,1,2,24,15.00,21.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,3.00,1.00,0,0,0.00,900.00,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,Cheque card
H,0,1,25,216.00,3.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,700.00,Cars,Lease,East Germany,Others,Car,no credit cards
R,0,1,20,30.00,3.00,2.00,0.00,0.00,1600.00,0.00,2500.00,2.00,U,1.00,1.00,1,0,0.00,3000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
H,0,1,23,18.00,27.00,0.00,0.00,0.00,1700.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,8000.00,Cars,Lease,East Germany,Others,Car,no credit cards
H,2,3,29,18.00,24.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,G,1.00,1.00,1,0,0.00,1200.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
H,2,3,39,168.00,39.00,2.00,2.00,1.00,1800.00,0.00,2500.00,2.00,U,1.00,1.00,1,0,0.00,5000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,1,2,25,15.00,42.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,U,1.00,1.00,3,0,0.00,1300.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
H,2,3,30,144.00,21.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,G,3.00,1.00,0,0,0.00,1000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,Mastercard/Euroc
H,1,2,48,6.00,15.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,G,1.00,1.00,1,0,0.00,2000.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
H,0,2,66,54.00,12.00,2.00,0.00,0.00,1000.00,0.00,2500.00,2.00,V,2.00,1.00,1,3,1.00,700.00,"Dept. Store,Mail",Owner,East Germany,Pensioner,Without Vehicle,no credit cards
H,1,3,41,120.00,60.00,1.00,0.00,1.00,2000.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,1200.00,"Radio, TV, Hifi",,East Germany,Others,Car,no credit cards
H,5,7,52,96.00,30.00,2.00,0.00,0.00,2400.00,0.00,2500.00,2.00,V,1.00,1.00,1,2,1.00,1100.00,"Furniture,Carpet",Owner,East Germany,"Civil Service, M",Car,no credit cards
H,0,1,21,240.00,48.00,1.00,0.00,0.00,1000.00,0.00,2500.00,2.00,U,1.00,1.00,0,0,0.00,2000.00,Cars,Lease,East Germany,Others,Car,no credit cards
R,0,1,21,3.00,15.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,3.00,1.00,0,0,0.00,1400.00,Cars,Lease,East Germany,"Food,Building,Ca",Car,Cheque card
H,1,3,56,999.00,48.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,V,1.00,1.00,2,0,0.00,1400.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Mastercard/Euroc
R,0,2,39,120.00,36.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,V,2.00,1.00,2,3,1.00,1000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
H,1,3,33,36.00,24.00,1.00,1.00,0.00,2500.00,0.00,2500.00,2.00,V,1.00,1.00,3,0,0.00,900.00,"Radio, TV, Hifi",,East Germany,Others,Car,no credit cards
R,3,5,28,18.00,144.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,V,2.00,1.00,0,2,1.00,900.00,"Radio, TV, Hifi",,East Germany,"Civil Service, M",Car,Cheque card
H,0,1,25,12.00,12.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,1.00,1.00,2,0,0.00,500.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
H,0,1,33,84.00,72.00,2.00,2.00,1.00,2200.00,0.00,2500.00,2.00,T,1.00,1.00,1,0,0.00,4000.00,"Radio, TV, Hifi",Lease,East Germany,"Civil Service, M",Car,no credit cards
H,1,3,34,72.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,V,3.00,1.00,0,0,0.00,700.00,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Without Vehicle,Cheque card
H,1,2,29,60.00,72.00,1.00,0.00,1.00,2200.00,0.00,2500.00,2.00,U,1.00,1.00,1,0,0.00,1300.00,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Car,no credit cards
H,0,2,37,108.00,9.00,2.00,0.00,1.00,2000.00,0.00,2500.00,2.00,E,1.00,1.00,1,0,0.00,5000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,0,1,27,21.00,21.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,U,1.00,1.00,1,0,0.00,2500.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Mastercard/Euroc
R,0,1,49,66.00,15.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,G,1.00,1.00,1,0,0.00,800.00,"Dept. Store,Mail",Lease,East Germany,Others,Without Vehicle,Cheque card
R,0,2,66,72.00,108.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,1000.00,Leisure,Lease,East Germany,Pensioner,Without Vehicle,no credit cards
H,1,3,41,108.00,96.00,2.00,0.00,0.00,2500.00,1.00,2500.00,3.00,V,1.00,1.00,2,0,0.00,2000.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
R,1,2,27,0.00,18.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,900.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
R,0,1,21,264.00,12.00,2.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,1200.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
R,0,1,30,3.00,21.00,2.00,2.00,1.00,1600.00,1.00,2500.00,3.00,G,1.00,1.00,1,8,1.00,1900.00,"Furniture,Carpet",,East Germany,"Food,Building,Ca",Car,Cheque card
R,0,2,22,12.00,21.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,E,1.00,1.00,1,0,0.00,3000.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
H,2,4,37,42.00,54.00,1.00,2.00,1.00,2500.00,1.00,2500.00,3.00,V,1.00,1.00,1,2,1.00,4000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
R,1,2,29,9.00,144.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,T,1.00,1.00,0,0,0.00,3000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
R,0,1,21,9.00,33.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,3.00,1.00,0,0,0.00,1400.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
H,1,2,44,288.00,96.00,1.00,0.00,0.00,1900.00,0.00,2500.00,2.00,G,3.00,1.00,0,0,0.00,4000.00,Leisure,Owner,East Germany,Self-employed pe,Car,no credit cards
H,1,3,42,120.00,33.00,1.00,0.00,1.00,2000.00,0.00,2500.00,2.00,V,3.00,1.00,0,0,0.00,9000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,1,3,34,9.00,21.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,V,3.00,1.00,0,0,0.00,2000.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
R,2,4,42,15.00,120.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,4000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
H,2,4,34,120.00,120.00,2.00,2.00,1.00,2800.00,0.00,100000.0,4.00,V,1.00,1.00,1,0,0.00,1500.00,"Furniture,Carpet",Lease,East Germany,"Civil Service, M",Car,no credit cards
R,0,2,22,12.00,54.00,2.00,0.00,0.00,1500.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,5000.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
H,0,1,21,12.00,12.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,2500.00,"Radio, TV, Hifi",Lease,East Germany,"Food,Building,Ca",Without Vehicle,Cheque card
R,4,5,35,48.00,72.00,2.00,0.00,0.00,3100.00,1.00,100000.0,5.00,U,1.00,1.00,2,0,0.00,6000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
H,0,1,27,72.00,18.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,2.00,1.00,0,0,0.00,600.00,"Dept. Store,Mail",Lease,East Germany,Pensioner,Car,no credit cards
H,0,2,42,21.00,60.00,1.00,0.00,1.00,1700.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,1400.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
R,1,2,24,18.00,66.00,2.00,0.00,0.00,1700.00,0.00,2500.00,2.00,U,1.00,1.00,2,0,0.00,1600.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,0,1,21,264.00,6.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,1.00,1.00,2,0,0.00,1900.00,"Furniture,Carpet",Owner,East Germany,Others,Car,no credit cards
H,1,3,30,48.00,6.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,V,1.00,1.00,2,0,0.00,1000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
H,0,1,23,30.00,12.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,1.00,1.00,0,0,0.00,1200.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
H,1,3,23,9.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,V,3.00,1.00,0,2,1.00,1000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
R,1,2,52,15.00,168.00,1.00,2.00,0.00,2800.00,1.00,100000.0,5.00,G,1.00,1.00,1,0,0.00,7000.00,"Furniture,Carpet",Lease,East Germany,"State,Steel Ind,",Car,Cheque card
R,0,1,48,168.00,9.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,G,1.00,1.00,1,0,0.00,600.00,"Dept. Store,Mail",Lease,East Germany,Others,Without Vehicle,Cheque card
R,1,2,39,18.00,168.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,G,1.00,1.00,0,0,0.00,500.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,Mastercard/Euroc
R,0,1,68,999.00,108.00,2.00,0.00,0.00,1000.00,0.00,2500.00,2.00,W,3.00,1.00,0,3,1.00,1100.00,"Dept. Store,Mail",Lease,East Germany,Pensioner,Without Vehicle,no credit cards
H,0,1,20,15.00,6.00,1.00,0.00,0.00,1600.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,1400.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,2,4,42,168.00,39.00,1.00,0.00,0.00,2100.00,0.00,2500.00,2.00,V,3.00,1.00,0,0,0.00,15000.00,"Furniture,Carpet",Owner,East Germany,Self-employed pe,Car,no credit cards
H,0,1,27,96.00,27.00,2.00,0.00,0.00,3300.00,0.00,100000.0,4.00,U,1.00,1.00,1,0,0.00,1300.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
H,0,2,57,192.00,24.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,V,2.00,1.00,1,0,0.00,5000.00,"Furniture,Carpet",Lease,East Germany,Pensioner,Without Vehicle,no credit cards
H,0,1,26,30.00,9.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,1800.00,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
H,1,2,28,30.00,12.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,600.00,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,Cheque card
R,0,1,54,312.00,84.00,1.00,0.00,0.00,2000.00,0.00,2500.00,2.00,W,2.00,1.00,0,0,0.00,1400.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
R,0,1,58,48.00,21.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,2.00,1.00,1,0,0.00,1400.00,Cars,Lease,East Germany,Others,Without Vehicle,Cheque card
H,2,3,46,108.00,15.00,1.00,0.00,1.00,2000.00,1.00,2500.00,3.00,U,1.00,1.00,2,0,0.00,600.00,"Dept. Store,Mail",,East Germany,Others,Car,Cheque card
H,0,2,72,240.00,144.00,2.00,0.00,1.00,1600.00,1.00,2500.00,3.00,V,3.00,1.00,0,0,0.00,1200.00,"Dept. Store,Mail",,East Germany,Pensioner,Car,Cheque card
H,1,3,29,12.00,15.00,1.00,0.00,1.00,1700.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,1000.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
H,1,3,35,999.00,12.00,0.00,0.00,1.00,2200.00,0.00,2500.00,2.00,V,1.00,1.00,4,3,1.00,100000.0,Cars,Lease,East Germany,Others,Car,no credit cards
H,3,5,32,96.00,192.00,2.00,0.00,0.00,1700.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,1700.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,2,4,37,84.00,6.00,1.00,1.00,1.00,1500.00,0.00,2500.00,2.00,V,1.00,1.00,3,0,0.00,700.00,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Car,no credit cards
R,0,1,22,30.00,12.00,1.00,0.00,0.00,2000.00,0.00,2500.00,2.00,U,1.00,1.00,1,0,0.00,1800.00,"Furniture,Carpet",Lease,East Germany,"Civil Service, M",Car,no credit cards
H,1,2,23,9.00,33.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,U,1.00,1.00,2,0,0.00,1900.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
R,1,2,37,120.00,12.00,1.00,0.00,0.00,1600.00,0.00,2500.00,2.00,U,2.00,1.00,0,0,0.00,800.00,"Dept. Store,Mail",Lease,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
