TITLE;CHILDREN;PERS_H;AGE;TMADD;TMJOB1;TEL;NMBLOAN;FINLOAN;INCOME;EC_CARD;INC;INC1;STATUS;BUREAU;LOCATION;LOANS;REGN;DIV;CASH;PRODUCT;RESID;NAT;PROF;CAR;CARDS;GB
R;1;3;28;300;600;100;0;0;150000;0;250000;200;V;100;100;0;3;100;300000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
H;2;3;36;2100;21600;200;0;100;0;100;0;100;G;300;100;0;0;0;60000;Radio, TV, Hifi;Lease;German;Civil Service, M;Car;Cheque card;0
H;1;3;33;99900;3600;100;200;100;0;100;0;100;V;100;100;1;0;0;50000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;0
H;0;1;20;26400;600;200;0;0;260000;0;1000000;400;U;300;100;0;0;0;80000;Cars;Lease;German;Others;Car;no credit cards;0
H;2;4;26;7200;2400;200;0;100;0;100;0;100;V;300;100;0;0;0;110000;Radio, TV, Hifi;Lease;German;Others;Without Vehicle;Cheque card;1
H;2;4;37;19200;6000;100;200;100;0;100;0;100;V;100;100;1;0;0;140000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;0
H;1;3;36;9600;600;200;0;0;220000;0;250000;200;V;300;100;0;0;0;250000;Furniture,Carpet;Lease;German;Others;Without Vehicle;no credit cards;0
H;0;1;22;4800;900;100;0;0;0;100;0;100;U;100;100;1;0;0;80000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
H;1;3;56;26400;6000;100;0;0;190000;0;250000;200;V;300;100;0;0;0;60000;Dept. Store,Mail;Lease;German;Pensioner;Car;no credit cards;0
H;1;3;47;28800;28800;200;0;0;330000;0;1000000;400;V;300;100;0;0;0;150000;Dept. Store,Mail;Lease;German;Others;Car;no credit cards;0
H;2;4;41;1200;3000;200;0;0;0;100;0;100;V;200;100;2;0;0;50000;Dept. Store,Mail;Lease;German;Others;Without Vehicle;Cheque card;1
R;1;2;40;12000;4500;100;0;0;0;100;0;100;W;300;100;0;0;0;190000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Cheque card;0
H;2;4;32;6600;21600;100;200;0;0;100;0;100;V;100;100;2;0;0;140000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;0
R;0;2;46;600;9600;200;0;0;0;100;0;100;V;100;100;0;0;0;150000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;0
H;1;2;43;4200;14400;100;0;0;250000;0;250000;200;G;300;100;0;0;0;130000;Leisure;Lease;German;Others;Without Vehicle;no credit cards;1
R;1;3;29;5400;5400;100;0;0;180000;0;250000;200;V;100;100;2;0;0;250000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;1
H;0;2;44;10800;600;100;0;0;200000;0;250000;200;V;100;100;1;0;0;300000;Furniture,Carpet;;German;Others;Car;no credit cards;1
H;1;2;29;9600;16800;100;0;0;170000;0;250000;200;U;300;100;0;0;0;100000;Radio, TV, Hifi;Lease;German;Civil Service, M;Without Vehicle;no credit cards;1
R;0;2;54;10800;10800;200;200;100;0;100;0;100;V;100;100;1;0;0;130000;Radio, TV, Hifi;;German;Sea Vojage, Gast;Car;Cheque card;0
R;2;3;29;3000;14400;100;0;0;240000;0;250000;200;G;100;100;2;0;0;400000;Furniture,Carpet;Lease;German;Civil Service, M;Car;no credit cards;1
R;0;1;65;19200;6000;200;0;0;0;100;0;100;W;300;100;0;0;0;250000;Furniture,Carpet;Lease;German;Pensioner;Without Vehicle;Cheque card;0
H;0;1;28;24000;900;100;0;0;230000;0;250000;200;U;300;100;0;0;0;700000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
R;3;5;40;1800;5400;200;0;0;0;100;0;100;V;100;100;1;0;0;130000;Furniture,Carpet;Lease;German;Others;Without Vehicle;Cheque card;0
R;0;2;28;4200;1800;200;0;0;0;100;0;100;V;100;100;1;0;0;100000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;0
H;0;1;25;24000;6000;100;200;0;0;100;0;100;U;100;100;1;0;0;70000;Furniture,Carpet;Lease;German;Others;Without Vehicle;Cheque card;1
R;1;3;35;3600;16800;200;0;0;0;100;0;100;V;300;100;0;0;0;130000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Cheque card;0
R;1;2;40;24000;6000;100;0;0;0;100;0;100;G;100;100;1;0;0;250000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Cheque card;0
R;0;1;70;28800;14400;100;0;0;100000;0;250000;200;G;300;100;0;2;100;70000;Radio, TV, Hifi;Lease;German;Pensioner;Without Vehicle;no credit cards;0
H;1;3;41;10800;2100;200;0;100;0;100;0;100;V;100;100;1;0;0;140000;Radio, TV, Hifi;Lease;German;Food,Building,Ca;Car;Cheque card;0
H;1;3;52;19200;24000;100;200;0;300000;0;1000000;400;V;100;100;3;0;0;400000;Dept. Store,Mail;Owner;German;Others;Car;no credit cards;0
R;2;4;37;9600;9600;200;0;0;220000;100;250000;300;V;300;100;0;0;0;170000;Radio, TV, Hifi;;German;Civil Service, M;Car;Cheque card;0
H;3;5;34;16800;3000;200;200;100;280000;100;1000000;500;V;100;100;1;0;0;100000;Dept. Store,Mail;;German;Others;Car;Cheque card;0
H;0;1;22;26400;1500;200;200;100;0;100;0;100;U;100;100;1;0;0;200000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;0
R;0;1;63;26400;2700;100;0;0;160000;0;250000;200;U;300;100;0;0;0;90000;Furniture,Carpet;Lease;German;Others;Without Vehicle;no credit cards;0
H;2;4;49;14400;33600;200;200;100;0;100;0;100;V;100;100;1;0;0;400000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;0
R;2;3;37;9600;16800;100;0;0;150000;0;250000;200;G;300;100;0;0;0;400000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;1
H;1;3;32;4800;9600;200;0;0;300000;0;1000000;400;V;300;100;0;0;0;800000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
H;1;2;26;4200;10800;100;0;0;220000;0;250000;200;U;100;100;1;0;0;130000;Dept. Store,Mail;;German;Others;Car;no credit cards;1
R;0;1;55;26400;1500;100;0;0;150000;0;250000;200;W;300;100;0;0;0;150000;Furniture,Carpet;Lease;German;Others;Without Vehicle;no credit cards;0
H;1;2;20;16800;5400;100;0;0;150000;0;250000;200;U;300;100;0;0;0;140000;Furniture,Carpet;Lease;German;Others;Without Vehicle;no credit cards;1
R;0;1;31;4800;6000;100;0;0;180000;0;250000;200;U;300;100;0;0;0;250000;Radio, TV, Hifi;Lease;German;Others;Without Vehicle;no credit cards;1
H;0;1;24;16800;900;100;0;100;0;100;0;100;U;100;100;1;0;0;110000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
R;0;1;57;16800;4800;200;200;100;0;0;0;0;G;100;100;1;0;0;60000;Radio, TV, Hifi;Lease;German;Pensioner;Without Vehicle;Mastercard/Euroc;0
H;2;4;31;900;3600;200;200;100;0;100;0;100;V;100;100;1;0;0;250000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Cheque card;0
H;0;2;68;16800;10800;200;200;0;0;100;0;100;V;100;100;2;0;0;110000;Dept. Store,Mail;Lease;German;Pensioner;Car;Cheque card;1
H;0;1;22;26400;1500;100;0;0;0;100;0;100;U;100;100;1;0;0;200000;Furniture,Carpet;Lease;German;Food,Building,Ca;Car;Cheque card;1
H;0;2;58;24000;3600;200;0;0;0;100;0;100;V;100;100;1;0;0;120000;Furniture,Carpet;Lease;German;Others;Without Vehicle;Cheque card;0
H;2;4;33;19200;2400;100;0;100;0;100;0;100;V;100;100;1;2;100;70000;Radio, TV, Hifi;;German;Others;Car;Cheque card;0
H;0;2;51;6600;6600;200;0;100;0;100;0;100;V;100;100;2;0;0;160000;Radio, TV, Hifi;;German;Civil Service, M;Car;Cheque card;0
R;3;4;39;12000;3300;100;200;0;200000;0;250000;200;G;100;100;0;0;0;180000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
R;0;1;57;16800;1800;100;0;0;150000;0;250000;200;W;200;100;1;0;0;190000;Furniture,Carpet;Lease;German;Others;Without Vehicle;no credit cards;1
H;0;1;21;16800;900;200;0;100;270000;0;1000000;400;U;100;100;1;0;0;50000;Dept. Store,Mail;Lease;German;Others;Car;no credit cards;1
R;4;6;42;14400;6000;200;0;100;0;100;0;100;V;100;100;2;0;0;400000;Furniture,Carpet;Lease;German;Self-employed pe;Without Vehicle;Cheque card;1
H;0;2;58;14400;2400;200;0;0;150000;0;250000;200;V;300;100;0;0;0;90000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;1
H;0;1;23;28800;2100;200;200;100;210000;0;250000;200;U;100;100;3;0;0;500000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;1
R;0;1;64;26400;4200;100;0;0;0;100;0;100;U;300;100;0;0;0;300000;Furniture,Carpet;Lease;German;Others;Without Vehicle;Cheque card;0
H;0;1;22;4800;2400;200;0;0;200000;0;250000;200;U;300;100;0;0;0;110000;Dept. Store,Mail;Lease;German;Others;Car;no credit cards;1
R;0;2;46;16800;2100;200;200;0;0;100;0;100;V;100;100;2;0;0;150000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;0
H;2;4;28;900;900;200;200;0;0;100;0;100;V;100;100;2;0;0;160000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
H;2;4;30;8400;16800;100;0;0;0;100;0;100;V;300;100;0;0;0;160000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;1
H;0;1;30;14400;1500;100;0;0;0;100;0;100;U;100;100;1;0;0;70000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;0
H;1;2;29;3600;4800;200;0;100;500000;0;1000000;400;U;100;100;1;0;0;400000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;0
R;0;1;20;16800;1200;100;0;0;150000;0;250000;200;U;300;100;0;0;0;200000;Cars;Lease;German;Others;Car;no credit cards;1
H;0;1;22;26400;3300;100;0;0;100000;0;250000;200;U;300;100;0;0;0;130000;Cars;Lease;German;Others;Car;no credit cards;1
H;0;1;21;21600;1500;100;0;0;160000;0;250000;200;U;300;100;0;0;0;60000;Cars;Lease;German;Others;Car;no credit cards;1
R;0;1;54;99900;99900;200;200;100;0;100;0;100;G;100;100;1;0;0;300000;Furniture,Carpet;Lease;German;Others;Without Vehicle;Cheque card;0
H;1;3;27;1800;3000;200;0;0;0;100;0;100;V;100;100;2;0;0;140000;Cars;Lease;German;Others;Car;Cheque card;1
H;2;4;35;9600;12000;100;200;100;0;100;0;100;V;100;100;1;0;0;110000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;0
H;0;2;30;3000;14400;100;0;0;230000;0;250000;200;V;300;100;0;0;0;100000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;1
H;1;3;36;19200;3300;200;0;0;0;100;0;100;V;300;100;0;0;0;250000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;1
H;0;1;23;4200;1200;100;0;0;170000;0;250000;200;U;300;100;0;0;0;250000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;1
H;3;5;33;1200;2400;200;0;0;170000;0;250000;200;V;200;100;5;0;0;300000;Furniture,Carpet;Lease;German;Others;Without Vehicle;no credit cards;1
H;2;4;34;16800;21600;200;200;100;210000;0;250000;200;V;100;100;2;0;0;700000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
R;0;1;56;6000;3600;200;100;100;150000;0;250000;200;W;300;100;0;0;0;150000;Furniture,Carpet;Lease;German;Pensioner;Without Vehicle;no credit cards;1
H;2;4;37;10800;300;200;0;0;0;100;0;100;V;100;100;1;0;0;150000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;0
R;2;4;39;4800;2100;200;0;0;0;100;0;100;V;100;100;1;0;0;120000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;0
H;2;4;38;14400;1500;200;0;100;230000;100;250000;300;V;300;100;0;0;0;200000;Radio, TV, Hifi;;German;Others;Without Vehicle;Cheque card;0
R;1;2;26;3600;6000;100;0;0;150000;0;250000;200;U;300;100;0;0;0;250000;Radio, TV, Hifi;Lease;German;Others;Without Vehicle;no credit cards;1
R;0;1;55;19200;1200;100;0;0;0;100;0;100;W;300;100;0;0;0;250000;Furniture,Carpet;Lease;German;Others;Without Vehicle;Cheque card;1
H;0;2;49;28800;3900;200;0;0;170000;0;250000;200;V;300;100;0;0;0;250000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;0
H;1;3;37;3000;1800;100;0;100;0;100;0;100;V;100;100;2;0;0;200000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;0
H;1;2;28;33600;1200;100;0;0;200000;0;250000;200;U;100;100;0;3;100;900000;Cars;Lease;German;Others;Car;no credit cards;0
H;2;4;28;10800;2100;200;0;0;0;100;0;100;V;100;100;1;0;0;200000;Radio, TV, Hifi;Lease;German;Food,Building,Ca;Car;Cheque card;0
R;0;1;46;12000;3600;100;0;0;0;100;0;100;G;300;100;0;0;0;400000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Cheque card;0
R;0;1;50;7200;99900;200;200;0;230000;0;250000;200;G;100;100;1;0;0;110000;Radio, TV, Hifi;Lease;German;Others;Without Vehicle;no credit cards;0
R;1;3;35;8400;1200;200;200;100;0;100;0;100;V;100;100;1;0;0;80000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;0
H;0;1;22;28800;1800;200;200;0;0;100;0;100;U;100;100;2;0;0;170000;Radio, TV, Hifi;Lease;German;Others;Without Vehicle;Cheque card;1
H;0;2;46;12000;3600;200;200;0;0;100;0;100;V;100;100;1;0;0;80000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;0
H;0;1;19;24000;2400;100;0;0;100000;0;250000;200;U;100;100;1;0;0;90000;Furniture,Carpet;;German;Others;Without Vehicle;no credit cards;1
H;2;4;38;14400;24000;100;200;100;200000;100;250000;300;V;300;100;0;2;100;140000;Radio, TV, Hifi;Lease;German;State,Steel Ind,;Car;Cheque card;1
H;0;1;23;24000;600;200;0;100;0;100;0;100;U;300;100;0;0;0;160000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
H;1;3;25;6000;3600;100;0;0;0;100;0;100;V;100;100;1;0;0;80000;Radio, TV, Hifi;;German;Others;Car;Cheque card;0
H;1;3;29;900;1200;100;0;0;240000;0;250000;200;V;100;100;1;0;0;130000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;1
H;2;4;29;3600;1800;200;200;100;220000;0;250000;200;V;300;100;0;0;0;150000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;1
H;2;4;30;300;1800;200;0;0;0;100;0;100;V;100;100;3;0;0;170000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
H;0;1;27;21600;1800;100;0;0;180000;0;250000;200;U;100;100;0;0;0;1500000;Cars;Lease;German;Food,Building,Ca;Car;no credit cards;0
H;0;1;31;99900;5400;200;0;0;0;100;0;100;U;300;100;0;0;0;400000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
H;0;2;37;300;7200;200;0;0;0;100;0;100;E;300;100;0;0;0;70000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;0
H;0;1;22;6000;900;200;0;0;0;100;0;100;U;300;100;0;0;0;180000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;0
R;0;1;25;3000;8400;200;0;0;0;100;0;100;U;100;100;1;0;0;200000;Furniture,Carpet;Lease;German;Civil Service, M;Without Vehicle;Cheque card;1
H;0;2;66;300;4200;100;0;0;0;100;0;100;V;100;100;0;0;0;200000;Furniture,Carpet;Lease;German;Pensioner;Car;Cheque card;0
R;0;2;56;19200;1500;200;0;0;0;100;0;100;V;300;100;0;0;0;150000;Furniture,Carpet;Lease;German;Others;Without Vehicle;Cheque card;0
R;1;3;40;16800;3300;100;0;0;100000;0;250000;200;V;300;100;0;0;0;70000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
H;1;3;39;19200;2400;200;0;0;0;100;0;100;V;100;100;1;0;0;190000;Furniture,Carpet;Lease;German;Food,Building,Ca;Car;Cheque card;1
R;2;4;37;99900;19200;200;0;0;0;100;0;100;V;300;100;0;0;0;400000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Cheque card;1
R;0;1;64;9600;4200;200;0;0;0;100;0;100;W;300;100;0;0;0;120000;Radio, TV, Hifi;Lease;German;Pensioner;Without Vehicle;Cheque card;0
H;1;3;31;7200;1500;100;0;0;0;100;0;100;V;100;100;2;2;100;140000;Radio, TV, Hifi;;German;Others;Car;Cheque card;1
H;2;4;48;16800;19200;100;0;0;1000000;0;1000000;400;V;300;100;0;0;0;1500000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
R;1;3;28;300;4200;100;0;0;250000;100;250000;300;V;100;100;1;2;100;140000;Radio, TV, Hifi;;German;Others;Car;Cheque card;0
H;0;2;60;14400;3900;200;0;0;0;100;0;100;V;300;100;0;0;0;120000;Furniture,Carpet;Lease;German;Pensioner;Without Vehicle;Cheque card;0
H;1;3;50;19200;19200;200;0;0;0;100;0;100;V;100;100;1;0;0;200000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
H;2;4;34;1200;1800;100;0;0;250000;0;250000;200;V;100;100;1;0;0;180000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;0
H;1;2;26;28800;6000;200;0;0;220000;0;250000;200;U;300;100;0;0;0;300000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
H;0;2;39;8400;8400;200;0;0;0;100;0;100;V;300;100;0;0;0;50000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;1
H;0;2;47;14400;33600;200;200;100;0;100;0;100;V;300;100;0;0;0;300000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Cheque card;0
H;1;3;46;9600;900;100;0;0;230000;0;250000;200;V;300;100;0;0;0;250000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
R;2;4;34;14400;19200;200;0;0;0;0;0;0;V;100;100;2;0;0;90000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Mastercard/Euroc;0
H;0;2;66;14400;300;200;0;0;0;100;0;100;V;300;100;0;0;0;120000;Furniture,Carpet;Lease;German;Pensioner;Without Vehicle;Cheque card;0
R;0;2;58;7200;3600;200;0;0;0;100;0;100;V;300;100;0;0;0;90000;Dept. Store,Mail;Lease;German;Pensioner;Without Vehicle;Cheque card;0
H;1;2;32;8400;16800;100;0;0;160000;0;250000;200;G;300;100;0;0;0;180000;Dept. Store,Mail;Lease;German;Others;Car;no credit cards;1
H;1;2;55;24000;99900;100;0;0;210000;0;250000;200;T;100;100;1;0;0;800000;Cars;Lease;German;Others;Car;no credit cards;0
H;0;1;22;26400;2700;200;200;0;260000;0;1000000;400;U;100;100;1;3;100;250000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;1
H;2;4;44;21600;4200;100;0;0;0;100;0;100;V;100;100;2;0;0;200000;Dept. Store,Mail;Lease;German;Self-employed pe;Car;Cheque card;0
H;3;5;23;28800;3300;200;0;0;0;100;0;100;V;300;100;0;0;0;180000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;1
H;3;5;35;19200;16800;200;200;0;250000;0;250000;200;V;100;100;2;3;100;400000;Furniture,Carpet;Owner;German;Others;Car;no credit cards;0
R;0;2;45;31200;28800;100;0;0;0;100;0;100;V;100;100;1;0;0;140000;Furniture,Carpet;Lease;German;Others;Without Vehicle;Cheque card;0
H;0;1;39;21600;28800;100;200;0;0;100;0;100;U;100;100;2;0;0;130000;Dept. Store,Mail;Lease;German;Others;Without Vehicle;Cheque card;1
H;1;2;33;9600;2700;200;0;100;1000000;0;1000000;400;U;100;100;1;0;0;170000;Radio, TV, Hifi;Lease;German;Self-employed pe;Car;no credit cards;1
H;1;3;28;4200;3900;100;0;0;150000;0;250000;200;V;100;100;1;0;0;120000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;1
H;3;5;34;16800;3900;200;0;0;310000;0;1000000;400;V;100;100;2;0;0;120000;Furniture,Carpet;Owner;German;Others;Car;no credit cards;0
H;0;1;23;2400;3600;100;0;0;200000;0;250000;200;U;100;100;1;0;0;400000;Radio, TV, Hifi;;German;Others;Without Vehicle;no credit cards;1
H;0;2;60;16800;4500;200;0;0;0;0;0;0;V;100;100;0;0;0;150000;Radio, TV, Hifi;Lease;German;Pensioner;Without Vehicle;Mastercard/Euroc;0
R;0;1;47;3000;3900;100;0;0;150000;0;250000;200;W;300;100;0;0;0;70000;Furniture,Carpet;Lease;German;Pensioner;Without Vehicle;no credit cards;1
H;2;4;33;99900;2400;200;0;100;0;100;0;100;V;100;100;1;0;0;100000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
H;0;1;21;16800;900;200;0;0;150000;0;250000;200;U;300;100;0;0;0;60000;Dept. Store,Mail;Lease;German;Others;Car;no credit cards;1
H;1;3;44;28800;1200;100;0;100;0;100;0;100;V;100;100;1;0;0;70000;Cars;Lease;German;Others;Car;Cheque card;0
R;0;2;25;1200;3600;200;0;0;0;0;0;0;V;300;100;0;0;0;130000;Radio, TV, Hifi;Lease;German;Self-employed pe;Car;Mastercard/Euroc;0
H;1;3;28;2100;3600;100;200;100;0;100;0;100;V;100;100;2;0;0;130000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;1
R;0;1;18;21600;3000;200;0;0;100000;0;250000;200;U;300;100;0;0;0;50000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;1
H;1;2;23;1800;3000;100;0;0;200000;0;250000;200;U;300;100;0;0;0;170000;Furniture,Carpet;Lease;German;Military Service;Car;no credit cards;1
H;0;1;49;16800;33600;200;0;0;0;100;0;100;U;100;100;2;3;100;140000;Dept. Store,Mail;;German;Civil Service, M;Car;Cheque card;0
R;2;4;37;5400;2100;200;0;100;0;100;0;100;V;100;100;3;0;0;250000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
H;0;1;25;3600;9600;200;0;0;0;100;0;100;U;300;100;0;0;0;80000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;0
H;0;2;28;4200;3900;100;0;0;0;100;0;100;V;300;100;0;0;0;400000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;0
H;0;1;24;9600;4800;200;200;0;200000;0;250000;200;U;100;100;0;0;0;140000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;0
H;2;4;39;26400;24000;200;0;0;0;100;0;100;V;300;100;0;0;0;400000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;0
H;0;2;62;28800;3300;200;0;0;0;100;0;100;V;100;100;1;0;0;130000;Furniture,Carpet;Lease;German;Pensioner;Car;Cheque card;0
R;3;4;32;5400;6600;200;0;0;0;100;0;100;T;300;100;0;0;0;400000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;1
